,EdLevel,Country,YearsCodePro,Salary
741,Master’s degree,Germany,10.0,77832.0
751,Less than a Bachelors,United States of America,25.0,156000.0
752,Bachelor’s degree,Israel,20.0,155844.0
755,Bachelor’s degree,Canada,5.0,77900.0
757,Master’s degree,Poland,2.0,27844.0
758,Bachelor’s degree,Switzerland,15.0,126083.0
759,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,6.0,51704.0
760,Master’s degree,France,16.0,50806.0
762,Bachelor’s degree,Turkey,4.0,38400.0
774,Master’s degree,Germany,4.0,45401.0
775,Bachelor’s degree,United States of America,15.0,120000.0
776,Bachelor’s degree,United States of America,8.0,66500.0
785,Bachelor’s degree,United States of America,7.0,125000.0
786,Master’s degree,France,6.0,46482.0
788,Bachelor’s degree,India,10.0,29320.0
791,Master’s degree,United Kingdom of Great Britain and Northern Ireland,22.0,116333.0
793,Post grad,France,3.0,54049.0
794,Post grad,Germany,12.0,54049.0
796,Less than a Bachelors,Italy,6.0,32429.0
797,Master’s degree,Italy,5.0,27240.0
800,Post grad,United Kingdom of Great Britain and Northern Ireland,1.0,71093.0
804,Master’s degree,Italy,3.0,32429.0
805,Bachelor’s degree,United States of America,25.0,160000.0
808,Less than a Bachelors,Italy,6.0,27025.0
809,Bachelor’s degree,Canada,1.0,49160.0
810,Bachelor’s degree,United States of America,3.0,64000.0
813,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,8.0,50411.0
814,Master’s degree,Germany,4.0,54049.0
817,Post grad,United States of America,7.0,135000.0
818,Bachelor’s degree,Poland,14.0,105300.0
821,Master’s degree,France,4.0,46482.0
824,Bachelor’s degree,Brazil,4.0,17868.0
828,Master’s degree,United Kingdom of Great Britain and Northern Ireland,2.0,74970.0
833,Bachelor’s degree,Canada,3.0,52942.0
839,Bachelor’s degree,United States of America,3.0,85000.0
845,Bachelor’s degree,India,1.0,20943.0
846,Bachelor’s degree,United States of America,15.0,120000.0
847,Less than a Bachelors,Brazil,15.0,41232.0
848,Master’s degree,United States of America,11.0,155000.0
849,Master’s degree,Sweden,6.0,53388.0
851,Bachelor’s degree,Germany,2.0,54049.0
852,Post grad,Netherlands,24.0,57720.0
856,Less than a Bachelors,Germany,7.0,54480.0
859,Master’s degree,France,6.0,34584.0
861,Master’s degree,Russian Federation,15.0,36804.0
863,Bachelor’s degree,Germany,11.0,51887.0
870,Master’s degree,India,2.0,10728.0
873,Less than a Bachelors,Italy,21.0,81074.0
874,Bachelor’s degree,United States of America,5.0,115000.0
875,Bachelor’s degree,Canada,5.0,55211.0
886,Bachelor’s degree,United States of America,10.0,200000.0
888,Bachelor’s degree,United States of America,10.0,142000.0
889,Less than a Bachelors,United States of America,8.0,125000.0
890,Master’s degree,United Kingdom of Great Britain and Northern Ireland,3.0,84019.0
894,Master’s degree,Germany,5.0,31128.0
897,Master’s degree,Germany,0.5,51888.0
906,Bachelor’s degree,India,5.0,16475.0
907,Bachelor’s degree,Germany,2.0,41040.0
909,Master’s degree,United States of America,12.0,175000.0
911,Master’s degree,India,7.0,18848.0
912,Master’s degree,Germany,6.0,84312.0
913,Master’s degree,Germany,7.0,81074.0
914,Master’s degree,Germany,10.0,68102.0
918,Bachelor’s degree,United States of America,12.0,126000.0
919,Less than a Bachelors,Turkey,10.0,28320.0
928,Bachelor’s degree,Netherlands,2.0,35676.0
935,Bachelor’s degree,India,7.0,21641.0
942,Less than a Bachelors,United States of America,18.0,175000.0
945,Master’s degree,Israel,10.0,175112.0
947,Bachelor’s degree,United States of America,9.0,190000.0
950,Master’s degree,France,3.0,81074.0
952,Bachelor’s degree,Netherlands,4.0,38916.0
955,Master’s degree,France,2.0,45401.0
956,Master’s degree,India,6.0,12564.0
958,Master’s degree,Russian Federation,8.0,45300.0
963,Master’s degree,United States of America,30.0,153000.0
968,Master’s degree,United Kingdom of Great Britain and Northern Ireland,4.0,51704.0
970,Less than a Bachelors,United States of America,4.0,75000.0
971,Bachelor’s degree,India,2.0,11169.0
974,Bachelor’s degree,India,4.0,30716.0
975,Bachelor’s degree,Germany,25.0,81074.0
984,Post grad,India,10.0,13962.0
989,Master’s degree,France,4.0,48644.0
992,Master’s degree,Netherlands,3.0,51888.0
996,Master’s degree,India,6.0,64224.0
997,Bachelor’s degree,Germany,12.0,56211.0
1000,Master’s degree,Canada,15.0,75631.0
1003,Less than a Bachelors,Italy,6.0,55130.0
1005,Master’s degree,France,3.0,37834.0
1008,Bachelor’s degree,Canada,10.0,68068.0
1010,Less than a Bachelors,United States of America,10.0,200000.0
1012,Bachelor’s degree,Netherlands,7.0,36972.0
1022,Less than a Bachelors,Norway,20.0,61608.0
1023,Bachelor’s degree,Russian Federation,5.0,41000.0
1024,Less than a Bachelors,Germany,20.0,79993.0
1028,Bachelor’s degree,United States of America,5.0,100000.0
1029,Bachelor’s degree,United States of America,5.0,80325.0
1034,Less than a Bachelors,Spain,20.0,58373.0
1036,Bachelor’s degree,Germany,13.0,18984.0
1037,Bachelor’s degree,Germany,23.0,64859.0
1039,Bachelor’s degree,United States of America,3.0,82750.0
1042,Less than a Bachelors,Netherlands,1.0,23352.0
1043,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,5.0,71093.0
1047,Master’s degree,Germany,7.0,88208.0
1048,Master’s degree,United Kingdom of Great Britain and Northern Ireland,6.0,46533.0
1049,Bachelor’s degree,Netherlands,11.0,59544.0
1050,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,3.0,33600.0
1051,Master’s degree,France,7.0,39456.0
1053,Master’s degree,Israel,8.0,175116.0
1055,Less than a Bachelors,Poland,13.0,33408.0
1057,Bachelor’s degree,United States of America,8.0,110000.0
1068,Master’s degree,United States of America,5.0,200000.0
1070,Less than a Bachelors,United States of America,4.0,144000.0
1071,Post grad,France,0.5,24000.0
1072,Master’s degree,Germany,7.0,91883.0
1077,Less than a Bachelors,United States of America,43.0,83000.0
1080,Bachelor’s degree,United States of America,3.0,75636.0
1082,Bachelor’s degree,Russian Federation,5.0,16980.0
1083,Bachelor’s degree,United States of America,1.0,100000.0
1085,Less than a Bachelors,Russian Federation,30.0,37752.0
1088,Post grad,United Kingdom of Great Britain and Northern Ireland,15.0,103408.0
1091,Bachelor’s degree,India,5.0,13962.0
1096,Bachelor’s degree,Poland,4.0,55200.0
1101,Bachelor’s degree,United States of America,40.0,200000.0
1104,Post grad,France,29.0,83236.0
1112,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,9.0,87896.0
1113,Bachelor’s degree,United States of America,6.0,80000.0
1115,Bachelor’s degree,Italy,15.0,38916.0
1116,Master’s degree,Germany,15.0,175119.0
1118,Master’s degree,United Kingdom of Great Britain and Northern Ireland,30.0,193889.0
1125,Master’s degree,United States of America,4.0,166000.0
1126,Master’s degree,France,13.0,64859.0
1129,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,20.0,89189.0
1132,Bachelor’s degree,Germany,5.0,51887.0
1136,Bachelor’s degree,Canada,16.0,52942.0
1138,Bachelor’s degree,United States of America,21.0,90000.0
1139,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,12.0,82726.0
1141,Less than a Bachelors,Switzerland,6.0,80008.0
1142,Bachelor’s degree,United States of America,1.0,65000.0
1151,Post grad,Italy,38.0,51888.0
1152,Master’s degree,United States of America,7.0,160000.0
1153,Less than a Bachelors,France,11.0,75669.0
1154,Master’s degree,France,3.0,48644.0
1158,Bachelor’s degree,Germany,11.0,81074.0
1161,Less than a Bachelors,United States of America,8.0,200000.0
1165,Bachelor’s degree,Canada,2.0,66556.0
1168,Bachelor’s degree,United States of America,25.0,120000.0
1176,Bachelor’s degree,India,6.0,20940.0
1177,Bachelor’s degree,Germany,6.0,86478.0
1178,Post grad,United States of America,25.0,160000.0
1179,Less than a Bachelors,Israel,3.0,45528.0
1180,Master’s degree,Turkey,26.0,63120.0
1184,Master’s degree,Germany,23.0,58373.0
1187,Bachelor’s degree,United States of America,16.0,105000.0
1188,Bachelor’s degree,United States of America,7.0,83200.0
1189,Bachelor’s degree,United States of America,4.0,81000.0
1191,Master’s degree,United States of America,8.0,106000.0
1193,Bachelor’s degree,United States of America,7.0,125000.0
1200,Less than a Bachelors,Italy,19.0,19458.0
1203,Post grad,United Kingdom of Great Britain and Northern Ireland,15.0,51704.0
1205,Bachelor’s degree,Germany,7.0,60427.0
1209,Master’s degree,United States of America,15.0,200000.0
1210,Less than a Bachelors,Canada,3.0,60505.0
1211,Bachelor’s degree,Brazil,3.0,18326.0
1214,Master’s degree,Germany,12.0,108098.0
1215,Master’s degree,Brazil,13.0,21996.0
1218,Master’s degree,United Kingdom of Great Britain and Northern Ireland,6.0,129259.0
1220,Post grad,United States of America,3.0,93000.0
1225,Bachelor’s degree,United States of America,5.0,77250.0
1230,Master’s degree,Italy,8.0,64859.0
1236,Master’s degree,France,5.0,30916.0
1241,Master’s degree,United Kingdom of Great Britain and Northern Ireland,12.0,87638.0
1244,Bachelor’s degree,India,3.0,26527.0
1249,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,4.0,20682.0
1251,Less than a Bachelors,United States of America,10.0,129600.0
1252,Less than a Bachelors,Germany,20.0,75669.0
1253,Bachelor’s degree,United States of America,25.0,116000.0
1254,Bachelor’s degree,United States of America,6.0,104000.0
1258,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,2.0,36193.0
1270,Less than a Bachelors,Italy,3.0,16860.0
1274,Less than a Bachelors,Spain,0.5,18160.0
1275,Master’s degree,France,21.0,68102.0
1276,Less than a Bachelors,Germany,5.0,47563.0
1277,Master’s degree,United Kingdom of Great Britain and Northern Ireland,10.0,64630.0
1280,Master’s degree,Switzerland,2.0,69121.0
1282,Master’s degree,United Kingdom of Great Britain and Northern Ireland,4.0,118919.0
1289,Bachelor’s degree,India,8.0,57240.0
1291,Bachelor’s degree,Turkey,14.0,24972.0
1293,Bachelor’s degree,India,10.0,30018.0
1304,Master’s degree,France,6.0,44320.0
1306,Bachelor’s degree,United States of America,5.0,65000.0
1307,Less than a Bachelors,Canada,20.0,60505.0
1308,Less than a Bachelors,Netherlands,2.0,88640.0
1311,Less than a Bachelors,United States of America,35.0,160000.0
1315,Bachelor’s degree,United States of America,2.0,68000.0
1316,Bachelor’s degree,United States of America,20.0,144000.0
1317,Bachelor’s degree,United States of America,2.0,60000.0
1318,Bachelor’s degree,India,2.0,15682.0
1320,Master’s degree,Germany,3.0,81074.0
1321,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,16.0,49119.0
1323,Bachelor’s degree,France,10.0,33732.0
1324,Bachelor’s degree,United States of America,7.0,66000.0
1327,Bachelor’s degree,Israel,3.0,63036.0
